YEAR,RATE_2Seam,RATE_4Seam,RATE_Cutt,RATE_Curv,RATE_Slid,RATE_Chan,RATE_Sink,RATE_Fork,RATE_Knuc,RATE_Other,SPEED_2Seam,SPEED_4Seam,SPEED_Cutt,SPEED_Curv,SPEED_Slid,SPEED_Chan,SPEED_Sink,SPEED_Fork,SPEED_Knuc,SPEED_Other,WAR
2023,9.4,34.4,0,0.3,33.2,22.2,0,0,0,0.5,142.7,143.9,0,116.9,128.9,127.3,0,0,0,128.5,5.74
2013,1.6,47.2,3.7,16,27.4,1,0,2.7,0,0.4,143.2,146.4,141.8,128.2,138.6,137.2,0,137.4,0,116.2,2.41
2018,0,48.5,0,7.4,24.1,20,0,0,0,0,0,139.7,0,110.2,128.7,124.1,0,0,0,0,0.92
2019,0,50.3,0,6.3,23.4,20,0,0,0,0,0,138.9,0,111.1,128,123.7,0,0,0,0,0.7
2020,0,46.6,0,6.8,28.3,18.2,0,0,0,0,0,138.9,0,112.6,129.3,124,0,0,0,0,4.22
2021,0,47,0,6.8,31.5,14.7,0,0,0,0,131,136.9,0,109.6,128.1,122.2,0,0,0,0,2.51
2023,0,37.8,0,6.1,36.8,19.2,0,0,0,0.1,0,137.6,0,109.5,128.3,121.9,0,0,0,0,0.21
2015,0,57.9,0,29.6,0,1.4,8.8,0,0,2.3,0,130.4,0,118,0,119.8,130.1,0,0,118.3,1.81
2016,7.3,39.3,0,32.4,0,0,18.7,0,0,2.3,129.3,130.7,0,119.1,0,0,129.9,0,0,129.5,1.49
2017,0.3,48.6,0,37.2,0,3.9,8.8,1.1,0,0.2,130,131.4,0,119.1,0,123.6,128.6,122.9,0,126.8,4.01
